,conference,acronynm,rank,area_of_research
592,International Conference on Software Engineering and Formal Methods,SEFM,B,Computer Software†
593,International Conference on Software Engineering and Knowledge Engineering,SEKE,B,Computer Software†
594,"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C,Information and Computing Sciences†
595,International Conference on Software Language Engineering,SLE,B,Computer Software†
596,International Conference on Software Quality Management,SQM,C,Computer Software†
597,International Conference on Software Reuse,ICSR,B,Computer Software†
598,"International Conference on Software Testing, Verification and Validation",ICST,A,Computer Software†
599,International Conference on Sustainable Energy Information Technology,SEIT,Unranked,Distributed computing and systems software
600,International Conference on Systems Engineering,ICSEng,C,Computer Software†
601,International Conference on Tests and Proofs,TAP,B,Computer Software†
602,International Conference on the Application and Theory of Petri Nets and Concurrency,ICATPN,B,Computation Theory and Mathematics†
603,International Conference on the Foundations of Digital Games,FDG,C,Artificial Intelligence and Image Processing†
604,International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,Computation Theory and Mathematics†
605,International Conference on the Quality of Information and Communications Technology,QUATIC,C,Software engineering
606,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,A,Artificial Intelligence and Image Processing†
607,International Conference on the Statistical Analysis of Textual Data,JADT,C,Data Format†
608,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,Data Format†
609,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,Data Format†
610,International Conference on the Theory of Information Retrieval,ICTIR,Unranked,Data management and data science
611,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,A,Computation Theory and Mathematics†
612,International Conference on Theory and Applications of Satisfiability Testing,SAT,A,Computation Theory and Mathematics†
613,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B,Rank: A
614,International Conference on Tools with Artificial Intelligence,ICTAI,B,Artificial Intelligence and Image Processing†
615,"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,Computer Software†
616,"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,A,Computer Software†
617,International Conference on Ubiquitous Intelligence and Computing,UIC,B,Artificial Intelligence and Image Processing†
618,International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C,Computation Theory and Mathematics†
619,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B,"Rank change from B to A rejected. Argument based solely on being merger of two A venues. Not unequivocally supported. This round made only limited unequivocal changes.
            
            
            (Data)"
620,International Conference on Very Large Databases,VLDB,A*,Data Format†
621,International Conference on Virtual Execution Environments,VEE,A,Computer Software†
622,International Conference on Virtual Rehabilitation,ICVR,Unranked,Artificial Intelligence and Image Processing†
623,International Conference on Virtual Systems and MultiMedia,VSMM,B,Design Practice and Management†
624,International Conference on VLSI Design,VLSID,National: India,Communications Technologies†
625,International Conference on Web and Social Media,ICWSM,Unranked,Artificial Intelligence and Image Processing†
626,International Conference on Web Engineering,ICWE,B,Information Systems†
627,International Conference on Web Information Systems and Technologies,WEBIST,C,Information Systems†
628,International Conference on Web Information Systems Engineering,WISE,A,Distributed Computing†
629,"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,Unranked,Information and Computing Sciences
630,"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,National: Czecholslovakia,Artificial Intelligence and Image Processing†
631,International Congress on Computational and Applied Mathematics,ICCAM,C,Computation Theory and Mathematics†
632,International Congress on Modelling and Simulation,MODSIM,Australasian C,Artificial Intelligence and Image Processing†
633,International CSI Computer Conference,CSICC,National: Iran,Computation Theory and Mathematics†
634,International Database Engineering and Applications Symposium,IDEAS,B,Data Format†
635,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,A,Rank: A
636,International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,B,Artificial Intelligence and Image Processing†
637,International Frontiers of Algorithmics Workshop,FAW,National: China,Computation Theory and Mathematics†
638,International Joint Conference on Artificial Intelligence,IJCAI,A*,Artificial Intelligence and Image Processing†
639,International Joint Conference on Automated Reasoning,IJCAR,A*,Artificial Intelligence and Image Processing†
640,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,Artificial Intelligence and Image Processing†
641,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C,Technology†
642,International Joint Conference on Natural Language Processing,IJCNLP,B,Artificial Intelligence and Image Processing†
643,International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C,Artificial Intelligence and Image Processing†
644,International KES Symposium on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C,Artificial Intelligence and Image Processing†
645,International Machine Vision and Image Processing Conference,IMVIP,National: ireland,Artificial Intelligence and Image Processing†
646,"International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing, changed in 2002)",VECPAR,B,Distributed Computing†
647,International Natural Language Generation Conference,INLG,B,Artificial Intelligence and Image Processing†
648,International Network Optimization Conference,INOC,C,Computation Theory and Mathematics†
649,International Picture Coding Symposium,PCS,C,Communications Technologies†
650,International Semantic Web Conference,ISWC,A,Data Format†
651,International Symposium on Algorithmic Game Theory,SAGT,B,Computation Theory and Mathematics†
652,International Symposium on Algorithms and Computation,ISAAC,A,Computation Theory and Mathematics†
653,International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C,"Request to add as B. Decision to rank as C.
            
            
            (Data)
            
            
            
            (Decision)"
654,International Symposium on Applied Computational Intelligence and Informatics,SACI,National: Romania,Artificial Intelligence and Image Processing†
655,International Symposium on Applied Machine Intelligence and Informatics,SAMI,National: slovakia,Artificial Intelligence and Image Processing†
656,International Symposium on Artificial Intelligence and Mathematics,ISAIM,National: USA,Computation Theory and Mathematics†
657,International Symposium on Artificial Life and Robotics,AROB,C,Artificial Intelligence and Image Processing†
658,International Symposium on Automated Technology for Verification and Analysis,ATVA,A,Computer Software†
659,International Symposium on Automation and Robotics in Construction,ISARC,C,Manufacturing Engineering†
660,International Symposium on Autonomous Decentralized Systems,ISADS,C,Distributed Computing†
661,International Symposium on Code Generation and Optimization,CGO,A,Computer Software†
662,International Symposium on Combinatorial Optimisation,ISCO,C,Computation Theory and Mathematics†
663,International Symposium on Computational Geometry,SoCG,A,Computation Theory and Mathematics†
664,International Symposium on Computer and Information Sciences,ISCIS,C,Information Systems†
665,International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,B,Distributed Computing†
666,International Symposium on Distributed Computing (was WDAG),DISC,A,Distributed Computing†
667,International Symposium on Distributed Simulation and Real Time Applications,DS-RT,B,Information Systems†
668,International Symposium on Empirical Software Engineering and Measurement,ESEM,A,Computer Software†
669,International Symposium on Experimental Algorithms,SEA,B,Computation Theory and Mathematics†
670,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,Computation Theory and Mathematics†
671,International Symposium on Foundations of Intelligent Systems,ISMIS,C,Artificial Intelligence and Image Processing†
672,International Symposium on Functional and Logic Programming,FLOPS,National: Japan,Computation Theory and Mathematics†
673,International Symposium on Fundamentals of Computation Theory,FCT,A,Computation Theory and Mathematics†
674,International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,C,Distributed Computing†
675,International Symposium on High Performance Computer Architecture,HPCA,A*,Computer Software†
676,International Symposium on Information and Communication Technologies,ISICT,C,Information and Computing Sciences†
677,International Symposium on Information Assurance and Security,IAS,C,Data Format†
678,International Symposium on Information Theory and Its Applications,ISITA,B,Data Format†
679,International Symposium on Innovations in Intelligent Systems and Applications,INISTA,C,Artificial Intelligence and Image Processing†
680,International Symposium on Intelligent and Interactive Multimedia: Systems and Services,KES IIMSS,C,Information Systems†
681,International Symposium on Intelligent Systems and Informatics,SISY,National: serbia,Information Systems†
682,International Symposium on Latin American Theoretical Informatics,LATIN,B,Computation Theory and Mathematics†
683,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,C,Computation Theory and Mathematics†
684,International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,B,Computation Theory and Mathematics†
685,International Symposium on Mathematical Foundations of Computer Science,MFCS,A,Computation Theory and Mathematics†
686,International Symposium on Memory Management,ISMM,A,Computer Software†
687,"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,B,Computer Hardware†
688,"International Symposium on Networks, Computers and Communications",ISNCC,Unranked,Distributed computing and systems software
689,International Symposium on Neural Networks,ISNN,C,Artificial Intelligence and Image Processing†
690,International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,B,Computer Software†
691,International Symposium on Parallel and Distributed Computing,ISPDC,C,Distributed Computing†
692,"International Symposium on Parallel Architectures, Algorithms and Networks",I-SPAN,B,Distributed Computing†
693,International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B,Computation Theory and Mathematics†
694,International Symposium on Robotics Research,ISRR,A,Manufacturing Engineering†
695,International Symposium on Software Reliability Engineering,ISSRE,A,Computer Software†
696,International Symposium on Software Testing and Analysis,ISSTA,A,Computer Software†
697,International Symposium on Spatial and Temporal Databases,SSTD,A,Geomatic Engineering †
698,International Symposium on Spatial Data Handling,SDH,C,Urban and Regional Planning†
699,International Symposium on Spatial Data Quality,ISSDQ,C,Geomatic Engineering †
700,International Symposium on String Processing and Information Retrieval,SPIRE,B,Data Format†
701,International Symposium on Symbolic and Algebraic Computation,ISSAC,A*,Computation Theory and Mathematics†
702,International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,National: romania,Computation Theory and Mathematics†
703,International Symposium on Technology and Society,ISTAS,C,Other Information and Computing Sciences†
704,International Symposium on Temporal Representation and Reasoning,TIME,B,Computation Theory and Mathematics†
705,International Symposium on the Mathematical Theory of Networks and Systems,MTNS,C,Distributed Computing†
706,International Symposium on Theoretical Aspects of Computer Science,STACS,A,Computation Theory and Mathematics†
707,International Symposium on Theoretical Aspects of Software Engineering,TASE,National: China,Computer Software†
708,International Symposium on Ubiquitous Virtual Reality,ISUVR,National: S. Korea,Artificial Intelligence and Image Processing†
709,International Symposium on Visual Computing,ISVC,National: USA,Artificial Intelligence and Image Processing†
710,International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,Australasian C,Communications Technologies†
711,International Teletraffic Congress,ITC,Unranked,Distributed computing and systems software
712,International Visualization in Transportation Symposium,TRB,National: USA,Artificial Intelligence and Image Processing†
713,International Wordnet Conference (Global Wordnet Conference),GWC,C,Data Format†
714,International Work-Conference on Artificial and Natural Neural Networks,IWANN,National: Spain,Artificial Intelligence and Image Processing†
715,International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,National:Spain,Artificial intelligence
716,International Workshop on Agents and Data Mining Interaction,ADMI,B,Artificial Intelligence and Image Processing†
717,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems,APPROX,A,Computation Theory and Mathematics†
718,International Workshop on Coding and Cryptography,WCC,B,Data Format†
719,International Workshop on Combinations of Intelligent Methods and Applications,CIMA,C,Artificial Intelligence and Image Processing†
720,International Workshop on Combinatorial Algorithm,IWOCA,B,Computation Theory and Mathematics†
721,International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,C,Computation Theory and Mathematics†
722,"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,B,Artificial Intelligence and Image Processing†
723,International Workshop on Critical Information Infrastructures Security,CRITIS,C,Computer Software†
724,International Workshop on Data Warehousing and OLAP,DOLAP,B,Data Format†
725,International Workshop on Developments in Computational Models,DCM,C,Computation Theory and Mathematics†
726,International Workshop on Digital Watermarking,IWDW,C,Data Format†
727,International Workshop on Document Analysis Systems,DAS,B,"Field of Research 0801 added.
            
            
            (Data)"
728,International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,C,Information Systems†
729,International Workshop on Fast Software Encryption,FSE,B,Data Format†
730,International Workshop on Formal Methods for interactive Systems,FMIS,C,Information Systems†
731,International Workshop on Functional and (Constraint) Logic Programming,WFLP,C,Computation Theory and Mathematics†
732,International Workshop on Graph-Theoretic Concepts in Computer Science,WG,A,Computation Theory and Mathematics†
733,International workshop on High-Level Parallel Programming and Applications,HLPP,C,Distributed Computing†
734,International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,C,Distributed Computing†
735,International Workshop on Information Security Applications,WISA,National: korea,Computer Software†
736,International Workshop on Modelling in Software Engineering,MISE,C,Computer Software†
737,International Workshop on MultiAgent Based Simulation,MABS,C,Artificial Intelligence and Image Processing†
738,International Workshop on Multimedia Signal Processing,MMSP,B,Computer Hardware†
739,International Workshop on Post-Quantum Cryptography,PQCrypto,C,Data Format†
740,International Workshop on Principles of Diagnosis,DX,B,Rank: B
741,International Workshop on Randomization and Computation,RANDOM,A,Computation Theory and Mathematics†
742,International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,B,Computer Software†
743,International Workshop on Security,IWSEC,National: Japan,Computer Software†
744,International Workshop on Soft Computing Applications,SOFA,National: Romania,Artificial Intelligence and Image Processing†
745,International Workshop on Software and Compilers for Embedded Systems,SCOPES,A,Communications Technologies†
746,International Workshop on the Algorithmic Foundations of Robotics,WAFR,C,Computation Theory and Mathematics†
747,International Workshop on the Web and Databases,WebDB,National: USA,Information Systems†
748,International Workshop on Visualization for Cyber Security,VizSec,C,Computer Software†
749,International Workshop on Web and Wireless Geographical Information Systems,W2GIS,C,Geomatic Engineering †
750,International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,B,Artificial Intelligence and Image Processing†
751,International World Wide Web Conference,WWW,A*,Information Systems†
752,Internet Measurement Conference,IMC,A,Information Systems†
753,Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A,Artificial Intelligence and Image Processing†
754,ISC High Performance (was International Supercomputing Conference),ISC,C,Distributed Computing†
755,ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,C,Information and Computing Sciences†
756,Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,C,Data Format†
757,"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,B,Artificial Intelligence and Image Processing†
758,KES International Symposium on Intelligent Decision Technologies,KES IDT,C,Artificial Intelligence and Image Processing†
759,Knowledge capture,K-CAP,A,Data Format†
760,Knowledge Domain Visualisation,KDViz,National: UK,Artificial Intelligence and Image Processing†
761,Knowledge Visualization and Visual Thinking,KV,C,Artificial Intelligence and Image Processing†
762,Language Resources and Evaluation Conference,LREC,C,Rank: C
763,Logic Programming and Automated Reasoning,LPAR,A,Computation Theory and Mathematics†
764,Logical Foundations of Computer Science,LFCS,National: USA,Computation Theory and Mathematics†
765,"Logics in Artificial Intelligence, European Conference",JELIA,A,Computation Theory and Mathematics†
766,Machine Translation Summit,MT SUMMIT,B,Artificial Intelligence and Image Processing†
767,Machine Vision Applications,MVA,National: japan,Artificial Intelligence and Image Processing†
768,"Machines, Computations and Universality (was Universal Machines and Computations)",MCU,B,Computation Theory and Mathematics†
769,MACIS: International Conference of Mathematical Aspects of Computer and Information Sciences,MACIS,C,Computation Theory and Mathematics†
770,Malaysia International Conference on Communications,MICC,Regional,Rank: Regional
771,Mathematics of Program Construction,MPC,B,Computation Theory and Mathematics†
772,Measurement and Modeling of Computer Systems,SIGMETRICS,A*,Computer Hardware†
773,Medical Image Computing and Computer-Assisted Intervention,MICCAI,A,Biomedical Engineering †
774,Modelling and Optimization: Theory and Applications,MOPTA,National: USA,Computation Theory and Mathematics†
775,National Conference of the American Association for Artificial Intelligence,AAAI,A*,Artificial Intelligence and Image Processing†
776,National Conference of The Australian Society for Operations Research,ASOR,Australasian C,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
777,Network and Operating System Support for Digital Audio and Video,NOSSDAV,A,Information Systems†
778,New Security Paradigms Workshop,NSPW,C,Data Format†
779,New Zealand Game Developers Conference,NZGDC,Australasian C,Information Systems†
780,North American Association for Computational Linguistics,NAACL,A,Artificial Intelligence and Image Processing†
781,Onward Software Engineering,Onward,C,Computer Software†
782,"Pacific Asia Conference on Language, Information and Computation",PACLIC,B,Artificial Intelligence and Image Processing†
783,Pacific Conference on Computer Graphics and Applications,PG,A,Artificial Intelligence and Image Processing†
784,Pacific Rim International Conference on Artificial Intelligence,PRICAI,B,Artificial Intelligence and Image Processing†
785,Pacific Rim International Symposium on Dependable Computing,PRDC,B,Distributed Computing†
786,Pacific Rim Knowledge Acquisition Workshop,PKAW,B,Computation Theory and Mathematics†
787,Pacific Symposium on Biocomputing,PSB,National: USA,Computer Software†
788,Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,A,Data Format†
789,Pacific-Rim Conference on Multimedia,PCM,C,Artificial Intelligence and Image Processing†
790,Pacific-Rim Symposium on Image and Video Technology,PSIVT,B,Artificial Intelligence and Image Processing†
791,Parallel Computing,PARCO,C,Distributed Computing†
792,Parallel Problem Solving from Nature,PPSN,A,Artificial Intelligence and Image Processing†
793,Passive and Active Measurement Conference,PAM,B,Information Systems†
794,Pattern Languages of Programs,PLOP,B,Computer Software†
795,Portuguese Conference on Artificial Intelligence,EPIA,Regional,Artificial Intelligence and Image Processing†
796,Practical Applications of Agents and Multiagent Systems,PAAMS,C,Artificial Intelligence and Image Processing†
797,Practical Aspects of Declarative Languages,PADL,B,Computer Software†
798,Practice and Theory of Automated Timetabling,PATAT,B,Computation Theory and Mathematics†
799,Prague Stringology Conference,PSC,National: Poland,Computer Software†
800,Principles and Practice of Parallel Programming,PPoPP,A,Distributed Computing†
801,Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,B,Computer Software†
802,Privacy in Statistical Databases,PSD,C,Data Format†
803,Product Focused Software Process Improvement,PROFES,B,Computer Software†
804,Real Time Systems Symposium,RTSS,A*,Computer Hardware†
805,Richard Tapia Celebration of Diversity in Computing Conference,Tapia,National: USA,Information and Computing Sciences†
806,Robot Soccer World Cup,RoboCup,B,Artificial Intelligence and Image Processing†
807,RSA Conference,RSA,B,Data Format†
808,Selected Areas in Cryptography,SAC,B,Data Format†
809,Semantics - International Conference on Semantic Systems,Semantics,National: Austria,CORE does not generally rank conferences held in a single country or region. See CORE website for details.
810,SGAI International Conference on Artificial Intelligence,SGAI,National: UK,Artificial Intelligence and Image Processing†
811,SIAM Conference on Discrete Mathematics,DM,C,Computation Theory and Mathematics†
812,SIAM Conference on Optimization,OP,C,Computation Theory and Mathematics†
813,SIAM International Conference on Data Mining,SDM,A,Data Format†
814,SIGdial Workshop on Discourse and Dialog,SIGdial,C,"Rank chnage from C to B rejected. Not sufficiently supported by data.
            
            
            (Data)"
815,SIGGRAPH Asia,SiggraphA,journal published,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
816,Simulation Technology and Training Conference,SimTecT,Australasian C,Artificial Intelligence and Image Processing†
817,SKLOIS Conference on Information Security and Cryptology,Inscrypt,National: China,Data Format†
818,Smart Card Research and Advanced Application Conference,CARDIS,B,Communications Technologies†
819,Software Process Improvement and Capability Determination,SPICE,C,Computer Software†
820,"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)",QRS,B,Computer Software†
821,Static Analysis Symposium,SAS,A,Computation Theory and Mathematics†
822,Structural and Syntactical Pattern Recognition,SSPR,A,Computation Theory and Mathematics†
823,Summer Computer Simulation Conference,SCSC,B,Artificial Intelligence and Image Processing†
824,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,A,Computer Hardware†
825,Symposium of Asian Association for Algorithms and Computation,AAAC,C,Computation Theory and Mathematics†
826,Symposium on Advances in DB and Information Systems,ADBIS,B,Information Systems†
827,Symposium on Geometry Processing,SGP,B,Computation Theory and Mathematics†
828,Symposium on High Performance Chips,HOTCHIPS (HCS),A,Rank: A
829,"Symposium on Networked Systems, Design and Implementation",NSDI,National: USA,Distributed Computing†
830,Symposium on Parallelism in Algorithms and Architectures,SPAA,A,Distributed Computing†
831,Symposium on Reliable Distributed Systems,SRDS,A,Distributed Computing†
832,"Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS,C,Distributed Computing†
833,Symposium On Usable Privacy and Security,SOUPS,B,Information Systems†
834,"Tangible, Embedded, and Embodied Interaction",TEI,A,Information Systems†
835,Technology of Object-Oriented Languages and Systems,TOOLS,B,Computer Software†
836,Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,National: China,Distributed Computing†
837,The International Conference on Future Networks and Communications,FNC,Unranked,Distributed computing and systems software
838,The International Conference on Intelligent Environments,IE,C,Information and Computing Sciences
839,The International Conference on Verification and Evaluation of Computer and Communication Systems,VECoS,Unranked,Software engineering
840,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A,Data Format†
841,The Symposium of Combinatorial Search,SoCS,Unranked,Artificial intelligence
842,The Theory and Application of Diagrams,DIAGRAMS,B,Artificial Intelligence and Image Processing†
843,Theoretical Aspects of Rationality and Knowledge,TARK,A,Computation Theory and Mathematics†
844,Theory of Cryptography Conference,TCC,A,Data Format†
845,Tools and Algorithms for Construction and Analysis of Systems,TACAS,A,Computer Software†
846,Unix Symposium on Internet Technologies,USITS,A,Distributed Computing†
847,Usable Security and Privacy,USEC,National: USA,Computer Software†
848,Usenix Annual Technical Conference,USENIX,A,Information and Computing Sciences†
849,Usenix Network and Distributed System Security Symposium,NDSS,A*,Distributed Computing†
850,Usenix Security Symposium,USENIX-Security,A*,Computer Software†
851,Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*,Computer Software†
852,USENIX Workshop on Hot Topics in Operating Systems,HotOS,A,Computer Software†
853,"Verification, Model Checking and Abstract Interpretation",VMCAI,B,Computer Software†
854,Visual Analytics,EuroVA,C,Artificial Intelligence and Image Processing†
855,Visual Information Communication and Interaction,VINCI,C,Artificial Intelligence and Image Processing†
856,Visualization In Science and Education,GRC,National: USA,Artificial Intelligence and Image Processing†
857,Web and Big Data,APWEB,B,Distributed Computing†
858,Winter Simulation Conference,WSC,B,Artificial Intelligence and Image Processing†
859,Workshop in Information Security Theory and Practices,WISTP,C,Computer Software†
860,Workshop on Algorithm Engineering and Experiments,ALENEX,A,Computation Theory and Mathematics†
861,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,C,Computation Theory and Mathematics†
862,Workshop on Algorithms And Models For The Web Graph,WAW,C,Computation Theory and Mathematics†
863,Workshop on Algorithms in Bioinformatics,WABI,B,Computation Theory and Mathematics†
864,Workshop on Analytic Algorithmics and Combinatorics,ANALCO,B,Computation Theory and Mathematics†
865,Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc,C,Computation Theory and Mathematics†
866,Workshop on Approximation and Online Algorithms,WAOA,B,Computation Theory and Mathematics†
867,Workshop on Computational Optimization,WCO,C,Computation Theory and Mathematics†
868,Workshop on Computer Architecture Education,WCAE,National: USA,Distributed Computing†
869,Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,B,Computation Theory and Mathematics†
870,Workshop on Cryptographic Hardware and Embedded Systems,CHES,A,Computer Software†
871,Workshop on Domain Specific Modelling,DSM,C,Computer Software†
872,Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,C,Data Format†
873,Workshop on Formal Techniques for Java-like Programs,FTfJP,C,Computer Software†
874,Workshop on Job Scheduling Strategies for Parallel Processing,JSSPP,B,Distributed Computing†
875,"Workshop on Logic, Language, Information and Computation",WoLLIC,B,Computation Theory and Mathematics†
876,Workshop on Mobile Computing Systems and Applications,HOTMOBILE,National: USA,Distributed Computing†
877,Workshop on Programming Languages and Operating Systems,PLOS,B,Computer Software†
878,Workshop on the Arithmetic of Finite Fields,WAIFI,C,Computation Theory and Mathematics†
879,"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,B,Rank: B
880,World Conference on Information Systems and Technologies,WorldCIST,C,Information and Computing Sciences
881,"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,National: USA,Information and Computing Sciences†
882,"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,National: USA,Rank: C
